tokens_per_second,latency_per_token,tokens_generated,total_time_seconds,peak_vram_mb,kv_cache_size,kv_cache_method,compression_ratio,perplexity,exact_match,f1,sample_id,baseline,model,dataset,max_new_tokens,topk_k,topk_recent,topk_method
28.773494869957272,0.034754207110381685,64,2.224269255064428,2912.8232421875,192,topk_k128_recent64_attention,3.9479166666666665,1.7539409399032593,0.0,0.0,narrativeqa_0,topk_thinning,TinyLlama/TinyLlama-1.1B-Chat-v1.0,narrativeqa,64,128,64,attention
33.234036849843086,0.030089633844909258,64,1.9257365660741925,2912.8232421875,192,topk_k128_recent64_attention,3.9635416666666665,3.531540632247925,0.0,0.0,narrativeqa_1,topk_thinning,TinyLlama/TinyLlama-1.1B-Chat-v1.0,narrativeqa,64,128,64,attention
33.310340961686514,0.03002070741786156,64,1.9213252747431397,2912.8232421875,192,topk_k128_recent64_attention,3.984375,1.8366702795028687,0.0,0.0,narrativeqa_2,topk_thinning,TinyLlama/TinyLlama-1.1B-Chat-v1.0,narrativeqa,64,128,64,attention
33.40144371636492,0.029938825653516687,64,1.916084841825068,2912.8232421875,192,topk_k128_recent64_attention,3.9479166666666665,2.4162330627441406,0.0,0.0,narrativeqa_3,topk_thinning,TinyLlama/TinyLlama-1.1B-Chat-v1.0,narrativeqa,64,128,64,attention
33.337742080835106,0.029996032651979476,64,1.9197460897266865,2912.8232421875,192,topk_k128_recent64_attention,3.9791666666666665,2.823631763458252,0.0,0.041666666666666664,narrativeqa_4,topk_thinning,TinyLlama/TinyLlama-1.1B-Chat-v1.0,narrativeqa,64,128,64,attention
33.380464055801205,0.02995764224033337,64,1.9172891033813357,2912.8232421875,192,topk_k128_recent64_attention,3.96875,3.653820514678955,0.0,0.047619047619047616,narrativeqa_5,topk_thinning,TinyLlama/TinyLlama-1.1B-Chat-v1.0,narrativeqa,64,128,64,attention
33.36457306372318,0.029971910567837767,64,1.918202276341617,2912.8232421875,192,topk_k128_recent64_attention,3.96875,2.1626064777374268,0.0,0.0,narrativeqa_6,topk_thinning,TinyLlama/TinyLlama-1.1B-Chat-v1.0,narrativeqa,64,128,64,attention
33.36489453826627,0.02997162178508006,64,1.9181837942451239,2912.8232421875,192,topk_k128_recent64_attention,3.9427083333333335,1.7539409399032593,0.0,0.0,narrativeqa_7,topk_thinning,TinyLlama/TinyLlama-1.1B-Chat-v1.0,narrativeqa,64,128,64,attention
33.349970528292104,0.02998503399430774,64,1.9190421756356955,2912.8232421875,192,topk_k128_recent64_attention,3.9583333333333335,1.8286776542663574,0.0,0.0,narrativeqa_8,topk_thinning,TinyLlama/TinyLlama-1.1B-Chat-v1.0,narrativeqa,64,128,64,attention
33.355828287554026,0.02997976819460746,64,1.9187051644548774,2912.8232421875,192,topk_k128_recent64_attention,3.9635416666666665,2.69122314453125,0.0,0.0,narrativeqa_9,topk_thinning,TinyLlama/TinyLlama-1.1B-Chat-v1.0,narrativeqa,64,128,64,attention
