latency_per_token,tokens_per_second,tokens_generated,peak_vram_mb,perplexity,exact_match,f1,sample_id,baseline,model,max_new_tokens,streaming_start_size,streaming_recent_size
0.040013702178839594,24.991439070809825,64,394.63671875,12.766012191772461,0.0,0.3478260869565218,narrativeqa_98,streamingllm,TinyLlama/TinyLlama-1.1B-Chat-v1.0,64,4,1020
0.0400784820667468,24.951044760991635,64,394.63671875,9.030719757080078,0.0,0.2857142857142857,narrativeqa_99,streamingllm,TinyLlama/TinyLlama-1.1B-Chat-v1.0,64,4,1020
0.02433864447812084,41.08692252351799,256,2265.25634765625,4.6582183837890625,0.0,0.09722222222222222,narrativeqa_0,streamingllm,TinyLlama/TinyLlama-1.1B-Chat-v1.0,256,4,1020
0.02337144990451634,42.78724700801546,256,2265.95068359375,2.840217113494873,0.0,0.061349693251533735,narrativeqa_1,streamingllm,TinyLlama/TinyLlama-1.1B-Chat-v1.0,256,4,1020
0.024500680695238867,40.815192542561746,114,2266.880859375,7.216887950897217,0.0,0.1263157894736842,narrativeqa_2,streamingllm,TinyLlama/TinyLlama-1.1B-Chat-v1.0,256,4,1020
0.023409485293086618,42.71772691624809,256,2265.25634765625,4.571615695953369,0.0,0.015748031496062992,narrativeqa_3,streamingllm,TinyLlama/TinyLlama-1.1B-Chat-v1.0,256,4,1020
0.026125265983864665,38.2771222546639,64,2266.64697265625,14.895893096923828,0.0,0.22727272727272727,narrativeqa_4,streamingllm,TinyLlama/TinyLlama-1.1B-Chat-v1.0,256,4,1020
0.02519155666232109,39.69583989605914,83,2266.18212890625,19.42086410522461,0.0,0.26865671641791045,narrativeqa_5,streamingllm,TinyLlama/TinyLlama-1.1B-Chat-v1.0,256,4,1020
0.031050134312223504,32.20597985002371,27,2266.18212890625,20.493602752685547,0.0,0.6874999999999999,narrativeqa_6,streamingllm,TinyLlama/TinyLlama-1.1B-Chat-v1.0,256,4,1020
0.023358871359960176,42.81028756013085,256,2265.0263671875,3.6082241535186768,0.0,0.04411764705882353,narrativeqa_7,streamingllm,TinyLlama/TinyLlama-1.1B-Chat-v1.0,256,4,1020
0.027253168932300932,36.69298063957555,47,2265.71826171875,17.102886199951172,0.0,0.2162162162162162,narrativeqa_8,streamingllm,TinyLlama/TinyLlama-1.1B-Chat-v1.0,256,4,1020
0.03899508634848254,25.64425658821279,14,2265.95068359375,123.00352478027344,0.0,0.15384615384615385,narrativeqa_9,streamingllm,TinyLlama/TinyLlama-1.1B-Chat-v1.0,256,4,1020
0.03164219439029694,31.603370729137847,25,2266.18212890625,22.594219207763672,0.0,0.4444444444444445,narrativeqa_10,streamingllm,TinyLlama/TinyLlama-1.1B-Chat-v1.0,256,4,1020
0.033979300782084464,29.429681511493857,20,2267.1142578125,27.560020446777344,0.0,0.33333333333333337,narrativeqa_11,streamingllm,TinyLlama/TinyLlama-1.1B-Chat-v1.0,256,4,1020
0.023343834109255113,42.837864393644345,256,2266.4150390625,5.392241477966309,0.0,0.0,narrativeqa_12,streamingllm,TinyLlama/TinyLlama-1.1B-Chat-v1.0,256,4,1020
0.026418662045971823,37.85203044196081,59,2265.95068359375,9.84688949584961,0.0,0.1111111111111111,narrativeqa_13,streamingllm,TinyLlama/TinyLlama-1.1B-Chat-v1.0,256,4,1020
0.03451830285944437,28.97013807636824,19,2266.64697265625,39.26947021484375,0.0,0.1818181818181818,narrativeqa_14,streamingllm,TinyLlama/TinyLlama-1.1B-Chat-v1.0,256,4,1020
0.039110559437956126,25.568542469620546,14,2267.1142578125,83.976318359375,0.0,0.19999999999999998,narrativeqa_15,streamingllm,TinyLlama/TinyLlama-1.1B-Chat-v1.0,256,4,1020
0.025455770202172108,39.283824141163535,78,2265.95068359375,18.39815330505371,0.0,0.15384615384615385,narrativeqa_16,streamingllm,TinyLlama/TinyLlama-1.1B-Chat-v1.0,256,4,1020
0.026135862110153077,38.261603760586375,63,2266.64697265625,24.73601531982422,0.0,0.0,narrativeqa_17,streamingllm,TinyLlama/TinyLlama-1.1B-Chat-v1.0,256,4,1020
0.04039862665992517,24.753316701034915,13,2266.64697265625,105.89555358886719,0.0,0.2857142857142857,narrativeqa_18,streamingllm,TinyLlama/TinyLlama-1.1B-Chat-v1.0,256,4,1020
0.03587213925579015,27.87678741068082,17,2265.71826171875,16.150646209716797,0.0,0.3636363636363636,narrativeqa_19,streamingllm,TinyLlama/TinyLlama-1.1B-Chat-v1.0,256,4,1020
0.03696357714943588,27.053658685608614,16,2265.95068359375,24.08489990234375,0.0,0.4615384615384615,narrativeqa_20,streamingllm,TinyLlama/TinyLlama-1.1B-Chat-v1.0,256,4,1020
