tokens_per_second,latency_per_token,tokens_generated,total_time_seconds,peak_vram_mb,kv_cache_size,kv_cache_method,compression_ratio,exact_match,f1,sample_id,baseline,model,dataset,max_new_tokens,topk_k,topk_recent,topk_method
11.90121138063999,0.08402505997219123,128,10.755207676440477,2210.935546875,320,topk_k256_recent64_attention,2.36875,0.0,0.0,narrativeqa_0,topk_thinning,TinyLlama/TinyLlama-1.1B-Chat-v1.0,narrativeqa,128,256,64,attention
12.218670518861128,0.08184196459478699,128,10.475771468132734,2212.37841796875,320,topk_k256_recent64_attention,2.378125,0.0,0.01492537313432836,narrativeqa_1,topk_thinning,TinyLlama/TinyLlama-1.1B-Chat-v1.0,narrativeqa,128,256,64,attention
12.084548737196666,0.08275029723881744,128,10.592038046568632,2213.7548828125,320,topk_k256_recent64_attention,2.390625,0.0,0.013986013986013986,narrativeqa_2,topk_thinning,TinyLlama/TinyLlama-1.1B-Chat-v1.0,narrativeqa,128,256,64,attention
12.244256245950021,0.08167094676173292,128,10.453881185501814,2210.935546875,320,topk_k256_recent64_attention,2.36875,0.0,0.0,narrativeqa_3,topk_thinning,TinyLlama/TinyLlama-1.1B-Chat-v1.0,narrativeqa,128,256,64,attention
12.14522051063315,0.08233691591885872,128,10.539125237613916,2213.66064453125,320,topk_k256_recent64_attention,2.3875,0.0,0.014925373134328358,narrativeqa_4,topk_thinning,TinyLlama/TinyLlama-1.1B-Chat-v1.0,narrativeqa,128,256,64,attention
12.229362992392529,0.08177040787995793,128,10.466612208634615,2213.47509765625,320,topk_k256_recent64_attention,2.38125,0.0,0.0,narrativeqa_5,topk_thinning,TinyLlama/TinyLlama-1.1B-Chat-v1.0,narrativeqa,128,256,64,attention
12.226605261971793,0.08178885132656433,128,10.468972969800234,2213.47509765625,320,topk_k256_recent64_attention,2.38125,0.0,0.0,narrativeqa_6,topk_thinning,TinyLlama/TinyLlama-1.1B-Chat-v1.0,narrativeqa,128,256,64,attention
12.232528875262703,0.08174924500053748,128,10.463903360068798,2210.69189453125,320,topk_k256_recent64_attention,2.365625,0.0,0.0,narrativeqa_7,topk_thinning,TinyLlama/TinyLlama-1.1B-Chat-v1.0,narrativeqa,128,256,64,attention
12.595431295972864,0.07939386722864583,128,10.162415005266666,2212.23046875,320,topk_k256_recent64_attention,2.375,0.0,0.0,narrativeqa_8,topk_thinning,TinyLlama/TinyLlama-1.1B-Chat-v1.0,narrativeqa,128,256,64,attention
12.099947755014028,0.08264498494099826,128,10.578558072447777,2212.37841796875,320,topk_k256_recent64_attention,2.378125,0.0,0.0,narrativeqa_9,topk_thinning,TinyLlama/TinyLlama-1.1B-Chat-v1.0,narrativeqa,128,256,64,attention
